DO NOT USE	Batch User	Batch Name	Seq ID	*Model Name	*Model ID	*Model Version	Element Long  Name	*Element Physical Name	Element Description	Element Type	Characteristic Long Name	*Characteristic Physical Name	Characteristic Order	Characteristic Description	Characteristic Type	Characteristic Min Length	Characteristic Max Length	Characteristic Data Type	Characteristic UOM	Characteristic Mandatory?	Characteristic PK?	Characteristic Default	CDE ID	CDE Version	Element Mapping Group	Characteristic FK?	FK Element Name	FK Element Characteristic Name	Comments
	pihl	CDS Batch 2	33	CDS Data Model		1.3	study	study		Node	cds_secondary_bucket	cds_secondary_bucket		Secondary bucket for depositing data non sequence files 	Property			string							study				
	pihl	CDS Batch 2	34	CDS Data Model		1.3	study	study		Node	cds_tertiary_bucket	cds_tertiary_bucket		Secondary bucket for depositing data non sequence files 	Property			string							study				
	pihl	CDS Batch 2	35	CDS Data Model		1.3	study	study		Node	number_of_participants	number_of_participants		How many participants in the study	Property			number		Yes					study				
	pihl	CDS Batch 2	36	CDS Data Model		1.3	study	study		Node	number_of_samples	number_of_samples		How many total samples in the study	Property			number		Yes					study				
	pihl	CDS Batch 2	37	CDS Data Model		1.3	study	study		Node	study_data_types	study_data_types		Types of scientific data in the study	Property					Yes					study				
	pihl	CDS Batch 2	38	CDS Data Model		1.3	study	study		Node	file_types_and_format	file_types_and_format		Specific kinds of files in the dataset that will be uploaded to CDS 	Property					Yes					study				
	pihl	CDS Batch 2	39	CDS Data Model		1.3	study	study		Node	size_of_data_being_uploaded	size_of_data_being_uploaded		Size of the data being uploaded to CDS	Property										study				
	pihl	CDS Batch 2	40	CDS Data Model		1.3	study	study		Node	acl	acl		open or restricted access to data	Property			list							study				
	pihl	CDS Batch 2	41	CDS Data Model		1.3	study	study		Node	study_access	study_access		Study access	Property					Yes					study				
	pihl	CDS Batch 2	42	CDS Data Model		1.3	study	study		Node	authz	authz		multifactor authorization	Property			string							study				
	pihl	CDS Batch 2	43	CDS Data Model		1.3	study	study		Node	study_version	study_version		The version of the phs accession	Property			string		Yes					study				
	pihl	CDS Batch 2	44	CDS Data Model		1.3	participant	participant		Node	study_participant_id	study_participant_id		The property study_participant_id is a compound property combining the property participant_id and the parent property study phs_accession It is the ID property for the node participant The reason why we are doing that is because is some cases there are same participant id in different studies repersent different participants 	Property			string		Yes					participant				
	pihl	CDS Batch 2	45	CDS Data Model		1.3	participant	participant		Node	participant_id	participant_id		A number or a string that may contain metadata information for a participant who has taken part in the investigation or study 	Property			string		Yes					participant				
	pihl	CDS Batch 2	46	CDS Data Model		1.3	participant	participant		Node	race	race		OMB Race designator	Property										participant				
	pihl	CDS Batch 2	47	CDS Data Model		1.3	participant	participant		Node	gender	gender		Biological gender at birth	Property					Yes					participant				
	pihl	CDS Batch 2	48	CDS Data Model		1.3	participant	participant		Node	ethnicity	ethnicity		OMB Ethinicity designator	Property										participant				
	pihl	CDS Batch 2	49	CDS Data Model		1.3	participant	participant		Node	dbGaP_subject_id	dbGaP_subject_id		Identifier for the participant as assigned by dbGaP	Property			string							participant				
	pihl	CDS Batch 2	50	CDS Data Model		1.3	diagnosis	diagnosis		Node	study_diagnosis_id	study_diagnosis_id		The property study_diagnosis_id is a compound property combining the property diagnosis_id and the parent property participant study_participant_id It is the ID property for the node diagnosis 	Property			string		Yes					diagnosis				
	pihl	CDS Batch 2	51	CDS Data Model		1.3	diagnosis	diagnosis		Node	diagnosis_id	diagnosis_id		Internal identifier	Property			string							diagnosis				
	pihl	CDS Batch 2	52	CDS Data Model		1.3	diagnosis	diagnosis		Node	disease_type	disease_type		Type of disease 	Property										diagnosis				
	pihl	CDS Batch 2	53	CDS Data Model		1.3	diagnosis	diagnosis		Node	vital_status	vital_status		Vital status as of last known follow up	Property										diagnosis				
	pihl	CDS Batch 2	54	CDS Data Model		1.3	diagnosis	diagnosis		Node	primary_diagnosis	primary_diagnosis		Primary disease diagnosed for this diagnosis and subject	Property					Yes					diagnosis				
	pihl	CDS Batch 2	55	CDS Data Model		1.3	diagnosis	diagnosis		Node	primary_site	primary_site		Anatomical site of disease in primary diagnosis for this diagnosis	Property										diagnosis				
	pihl	CDS Batch 2	56	CDS Data Model		1.3	diagnosis	diagnosis		Node	age_at_diagnosis	age_at_diagnosis		Participant age at relevant diagnosis	Property			integer							diagnosis				
	pihl	CDS Batch 2	57	CDS Data Model		1.3	diagnosis	diagnosis		Node	tumor_grade	tumor_grade		Numeric value to express the degree of abnormality of cancer cells a measure of differentiation and aggressiveness 	Property										diagnosis				
	pihl	CDS Batch 2	58	CDS Data Model		1.3	diagnosis	diagnosis		Node	tumor_stage_clinical_m	tumor_stage_clinical_m		Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment 	Property										diagnosis				
	pihl	CDS Batch 2	59	CDS Data Model		1.3	diagnosis	diagnosis		Node	tumor_stage_clinical_n	tumor_stage_clinical_n		Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment 	Property										diagnosis				
	pihl	CDS Batch 2	60	CDS Data Model		1.3	diagnosis	diagnosis		Node	tumor_stage_clinical_t	tumor_stage_clinical_t		Extent of the primary cancer based on evidence obtained from clinical assessment parameters determined prior to treatment 	Property										diagnosis				
	pihl	CDS Batch 2	61	CDS Data Model		1.3	diagnosis	diagnosis		Node	morphology	morphology		ICD O 3 Morphology term associated with this diagnosis	Property										diagnosis				
	pihl	CDS Batch 2	62	CDS Data Model		1.3	diagnosis	diagnosis		Node	incidence_type	incidence_type		For this diagnosis disease incidence relative to prior status of subject	Property										diagnosis				
	pihl	CDS Batch 2	63	CDS Data Model		1.3	diagnosis	diagnosis		Node	progression_or_recurrence	progression_or_recurrence		Yes No Unknown indicator to identify whether a patient has had a new tumor event after initial treatment 	Property										diagnosis				
	pihl	CDS Batch 2	64	CDS Data Model		1.3	diagnosis	diagnosis		Node	days_to_recurrence	days_to_recurrence		Days to disease recurrence relative to study index date	Property			integer							diagnosis				
	pihl	CDS Batch 2	65	CDS Data Model		1.3	diagnosis	diagnosis		Node	days_to_last_followup	days_to_last_followup		Days to last participant followup relative to study index date	Property			integer							diagnosis				
	pihl	CDS Batch 2	66	CDS Data Model		1.3	diagnosis	diagnosis		Node	last_known_disease_status	last_known_disease_status		Last known disease incidence for this subject and diagnosis	Property										diagnosis				
	pihl	CDS Batch 2	67	CDS Data Model		1.3	diagnosis	diagnosis		Node	days_to_last_known_status	days_to_last_known_status		Days to last known status of participant relative to study index date	Property			integer							diagnosis				
	pihl	CDS Batch 2	68	CDS Data Model		1.3	treatment	treatment		Node	treatment_id	treatment_id		Internal identifier	Property			string							treatment				
	pihl	CDS Batch 2	69	CDS Data Model		1.3	treatment	treatment		Node	treatment_type	treatment_type		Text term that describes the kind of treatment administered	Property										treatment				
	pihl	CDS Batch 2	70	CDS Data Model		1.3	treatment	treatment		Node	treatment_outcome	treatment_outcome		Text term that describes the patient s final outcome after the treatment was administered	Property										treatment				
	pihl	CDS Batch 2	71	CDS Data Model		1.3	treatment	treatment		Node	days_to_treatment	days_to_treatment		Days to start of treatment relative to index date	Property			integer							treatment				
	pihl	CDS Batch 2	72	CDS Data Model		1.3	treatment	treatment		Node	therapeutic_agents	therapeutic_agents		Text identification of the individual agent s used as part of a treatment regimen 	Property										treatment				
	pihl	CDS Batch 2	73	CDS Data Model		1.3	sample	sample		Node	sample_id	sample_id		Sample identifier as submitted by requestor	Property			string		Yes					sample				
	pihl	CDS Batch 2	74	CDS Data Model		1.3	sample	sample		Node	sample_type	sample_type		Tissue type of this sample	Property					Yes					sample				
	pihl	CDS Batch 2	75	CDS Data Model		1.3	sample	sample		Node	sample_tumor_status	sample_tumor_status		Tumor or normal status	Property					Yes					sample				
	pihl	CDS Batch 2	76	CDS Data Model		1.3	sample	sample		Node	sample_anatomic_site	sample_anatomic_site		Anatomic site from which sample was collected	Property										sample				
	pihl	CDS Batch 2	77	CDS Data Model		1.3	sample	sample		Node	sample_age_at_collection	sample_age_at_collection		Number of days to collection relative to index date	Property			integer							sample				
	pihl	CDS Batch 2	78	CDS Data Model		1.3	sample	sample		Node	derived_from_specimen	derived_from_specimen		Identier of the parent specimen of this sample	Property			string							sample				
	pihl	CDS Batch 2	79	CDS Data Model		1.3	sample	sample		Node	biosample_accession	biosample_accession		NCBI BioSample accession ID SAMN for this sample	Property										sample				
	pihl	CDS Batch 2	80	CDS Data Model		1.3	file	file		Node	file_id	file_id		File identifier	Property			string		Yes					file				
	pihl	CDS Batch 2	81	CDS Data Model		1.3	file	file		Node	file_name	file_name		Name of file	Property			string		Yes					file				
	pihl	CDS Batch 2	82	CDS Data Model		1.3	file	file		Node	file_type	file_type		File type from enumerated list	Property					Yes					file				
	pihl	CDS Batch 2	83	CDS Data Model		1.3	file	file		Node	file_description	file_description		Human readable description of file	Property			string							file				
	pihl	CDS Batch 2	84	CDS Data Model		1.3	file	file		Node	file_size	file_size		File size in bytes	Property			integer		Yes					file				
	pihl	CDS Batch 2	85	CDS Data Model		1.3	file	file		Node	md5sum	md5sum		MD5 hex digest for this file	Property					Yes					file				
	pihl	CDS Batch 2	86	CDS Data Model		1.3	file	file		Node	file_url_in_cds	file_url_in_cds		Location of the file on the CDS cloud using AWS S3 protocol	Property			string							file				
	pihl	CDS Batch 2	87	CDS Data Model		1.3	file	file		Node	experimental_strategy_and_data_subtypes	experimental_strategy_and_data_subtypes		What is the experimental strategy used for the study or what type of data subtypes exist in the study 	Property					Yes					file				
	pihl	CDS Batch 2	88	CDS Data Model		1.3	file	file		Node	submission_version	submission_version		Raw data file submission	Property			string		Yes					file				
	pihl	CDS Batch 2	89	CDS Data Model		1.3	genomic_info	genomic_info		Node	genomic_info_id	genomic_info_id		Genomic info identifier the ID property for the ndoe genomic_info 	Property			string		Yes					genomic_info				
	pihl	CDS Batch 2	90	CDS Data Model		1.3	genomic_info	genomic_info		Node	library_id	library_id		Library identifier as submitted by requestor	Property			string							genomic_info				
	pihl	CDS Batch 2	91	CDS Data Model		1.3	genomic_info	genomic_info		Node	bases	bases		Total number of unique bases read	Property			integer							genomic_info				
	pihl	CDS Batch 2	92	CDS Data Model		1.3	genomic_info	genomic_info		Node	number_of_reads	number_of_reads		Total number of reads performed	Property			integer							genomic_info				
	pihl	CDS Batch 2	93	CDS Data Model		1.3	genomic_info	genomic_info		Node	avg_read_length	avg_read_length		Average sequence read length	Property			number							genomic_info				
	pihl	CDS Batch 2	94	CDS Data Model		1.3	genomic_info	genomic_info		Node	coverage	coverage		Average depth of coverage on reference used	Property			number							genomic_info				
	pihl	CDS Batch 2	95	CDS Data Model		1.3	genomic_info	genomic_info		Node	reference_genome_assembly	reference_genome_assembly		Accession or name of genome reference or assembly used for alignment	Property										genomic_info				
	pihl	CDS Batch 2	96	CDS Data Model		1.3	genomic_info	genomic_info		Node	custom_assembly_fasta_file_for_alignment	custom_assembly_fasta_file_for_alignment		File name of any custom assembly fasta file used during alignment	Property			string							genomic_info				
	pihl	CDS Batch 2	97	CDS Data Model		1.3	genomic_info	genomic_info		Node	design_description	design_description		Human readable description of methods used to create sequencing library	Property			string							genomic_info				
	pihl	CDS Batch 2	98	CDS Data Model		1.3	genomic_info	genomic_info		Node	library_strategy	library_strategy		Nucleic acid capture or processing strategy for this library	Property										genomic_info				
	pihl	CDS Batch 2	99	CDS Data Model		1.3	genomic_info	genomic_info		Node	library_layout	library_layout		Library layout as submitted by requestor	Property										genomic_info				
	pihl	CDS Batch 2	100	CDS Data Model		1.3	genomic_info	genomic_info		Node	library_source	library_source		Source material used to create library	Property										genomic_info				
	pihl	CDS Batch 2	101	CDS Data Model		1.3	genomic_info	genomic_info		Node	library_selection	library_selection		Library selection method	Property										genomic_info				
	pihl	CDS Batch 2	102	CDS Data Model		1.3	genomic_info	genomic_info		Node	platform	platform		Instrument platform or manufacturer	Property										genomic_info				
	pihl	CDS Batch 2	103	CDS Data Model		1.3	genomic_info	genomic_info		Node	instrument_model	instrument_model		Instrument model	Property										genomic_info				
	pihl	CDS Batch 2	104	CDS Data Model		1.3	genomic_info	genomic_info		Node	sequence_alignment_software	sequence_alignment_software		Name of software program used to align nucleotide sequence data	Property			string							genomic_info				
